x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
865.601,1901.775,1623.832,1754.067,443.313,1888.357,1577.365,1529.11,1621.579,1559.22,435.518,1267.482,1743.221,832.935,523.08,813.577,916.355,619.917,925.02,412.809,448.814,374.873,1705.911,361.196
859.383,1890.134,1623.52,1752.534,444.998,1889.876,1576.882,1529.26,1620.841,1559.52,437.023,1268.169,1743.615,832.936,517.585,793.509,921.826,620.082,925.707,413.687,449.689,375.215,1708.478,363.057
856.144,1879.717,1623.358,1752.396,446.547,1892.001,1577.934,1529.595,1620.821,1559.563,438.789,1269.848,1743.738,832.954,512.903,781.925,922.366,620.153,926.287,414.542,450.202,375.211,1708.756,363.577
854.472,1874.286,1624.472,1762.142,447.807,1893.005,1576.986,1529.42,1621.147,1559.52,448.81,1272.405,1743.726,833.136,510.954,775.992,922.633,620.977,926.504,414.46,449.611,371.512,1710.203,364.556
853.45,1869.449,1624.717,1761.893,449.575,1894.795,1577.393,1529.446,1621.878,1559.397,456.484,1274.802,1744.068,832.805,510.101,769.586,924.738,620.581,926.966,414.644,457.981,359.727,1711.07,365.404
852.403,1867.083,1624.538,1761.096,450.485,1896.175,1576.84,1529.329,nan,nan,462.139,1276.361,1744.076,832.697,509.151,767.474,925.189,620.823,927.069,414.872,466.371,355.331,1712.483,366.578
851.175,1864.277,1624.417,1760.661,450.789,1896.295,1577.137,1529.657,nan,nan,464.962,1276.949,1744.495,832.471,507.889,763.825,925.407,620.795,927.1,415.08,470.227,353.099,1714.213,367.702
850.836,1862.664,1624.587,1760.351,451.707,1897.03,1578.474,1530.138,nan,nan,467.07,1277.876,1738.463,829.956,506.471,760.325,926.806,620.909,927.535,415.389,471.769,352.057,1715.601,368.843
849.733,1859.692,nan,nan,452.766,1898.496,1578.523,1530.125,nan,nan,467.93,1277.885,1729.09,810.38,505.019,756.449,928.192,620.938,927.841,415.879,472.605,350.997,1716.235,369.659
849.183,1858.407,nan,nan,453.675,1899.774,1579.305,1530.398,822.766,1373.173,470.889,1278.713,1724.759,800.516,505.363,755.063,929.538,620.77,928.156,415.97,473.214,350.298,1717.025,370.032
